site,lat,lon,block,field_alt_seasmax_cm,field_alt_magt_cm,obs_alt_cm,delta_holdout_m,dist_deg
ATT_0108,46.0968,7.2731,9200014,190.0,,414.0,1.0,0.0
ATT_0208,46.0967,7.2737,9200014,185.3,,414.0,1.0,0.0006
Arctic Village#755,68.129,-145.534,13599708,151.7,,65.7,1.0,0.0062
Barrow#33,71.309,-156.6615,14199686,48.7,,40.7,0.8,0.0
Barrow#519,71.2893,-156.7626,14199686,73.7,,83.7,0.8,0.0001
Bolvansky#1827,67.5777,55.1568,13500110,,,198.3,0.6,0.0116
Bolvansky#1828,67.5772,55.1453,13500110,,,198.3,0.6,0.0
Bolvansky#1830,67.5767,55.1331,13500110,400.0,535.9,198.3,0.6,0.0001
Bolvansky#1831,67.5764,55.1228,13500110,133.9,,198.3,0.6,0.0103
Bolvansky#431,68.2911,54.5042,13600109,297.0,,206.8,1.1,0.0066
Bolvansky#432,68.2897,53.5025,13600107,,,98.2,0.8,0.0
Bolvansky#433,68.2897,54.5058,13600109,336.3,,206.8,1.1,0.0076
Bolvansky#69,68.2875,54.4986,13600108,336.5,,206.8,1.0,0.0
Bolvansky#70,68.2867,54.5194,13600109,326.1,,206.8,1.1,0.0209
Bolvansky#71,68.2853,54.4828,13600108,384.5,,206.8,1.0,0.016
COR_0200,46.4285,9.822,9200019,264.4,122.2,248.3,0.6,0.0
COR_0287,46.4288,9.8218,9200019,141.1,,366.6,0.6,0.0
Chandalar Shelf#831,68.0691,-149.5804,13599700,156.9,,37.8,1.0,0.0
Chara#1116,56.7608,118.1916,11300236,,,53.0,1.0,0.0026
Chara#1835,56.7608,118.1897,11300236,,,53.0,1.0,0.0008
Chara#224,56.761,118.1896,11300236,,,53.0,1.0,0.0009
Chara#225,56.9055,118.2813,11300236,350.0,,50.0,1.0,0.001
Cherskii#213,69.4834,156.9878,13800313,162.3,,44.8,1.0,0.0045
Cherskii#215,68.7255,158.9074,13700317,113.3,,40.7,0.8,0.0108
Cherskii#222,68.8122,160.9884,13700321,136.5,,55.2,1.0,0.0124
Chevak#746,61.538,-165.6013,12299668,125.7,,105.7,0.6,0.0001
Chukotka#634,67.4847,171.9447,13400343,143.2,,194.5,1.1,0.0
Circle#752,65.817,-144.067,13099711,307.6,,247.7,1.1,0.0
Dead Horse#64,70.1613,-148.4653,13999703,63.1,,66.2,0.8,0.0
Dead Horse#87,70.1615,-148.4656,13999703,67.2,,66.2,0.8,0.0004
Dead Horse#88,70.1617,-148.4651,13999703,66.6,,66.2,0.8,0.0005
Eagle#754,64.7784,-141.1802,12899717,260.6,,97.8,1.0,0.0
FLU_0102,46.7489,9.9436,9300019,278.4,42.1,292.7,1.0,0.0
Fairbanks#1110,64.715,-148.2885,12899703,,16.6,74.7,1.0,0.0086
Fairbanks#615,64.8753,-147.8465,12899704,400.0,208.2,126.6,1.0,0.0143
Fairbanks#616,64.8745,-147.8482,12899704,400.0,,126.6,1.0,0.0124
Fairbanks#618,64.8675,-147.8588,12899704,,84.9,126.6,1.0,0.0011
Fairbanks#619,64.8669,-147.8584,12899704,,59.3,126.6,1.0,0.0004
Fairbanks#620,64.8661,-147.8568,12899704,,274.4,126.6,1.0,0.0014
Fairbanks#621,64.8529,-147.8578,12899704,377.9,50.3,126.6,1.0,0.0139
Fairbanks#624,64.8678,-147.7849,12899704,391.3,279.9,69.0,1.0,0.0
Fairbanks#630,64.7069,-148.2913,12899703,395.5,4.7,74.7,1.0,0.0
Franklin Bluff#102,69.6741,-148.7208,13899702,128.2,,63.9,0.8,0.0012
Franklin Bluff#103,69.6741,-148.7208,13899702,,,63.9,0.8,0.0012
Franklin Bluff#104,69.6741,-148.7208,13899702,,,63.9,0.8,0.0012
Franklin Bluff#105,69.6741,-148.7208,13899702,,,63.9,0.8,0.0012
Franklin Bluff#106,69.6551,-148.722,13899702,,,63.9,0.8,0.0188
Franklin Bluff#107,69.6551,-148.722,13899702,,,63.9,0.8,0.0188
GEN_0102,46.0837,7.3025,9200014,151.5,,334.7,1.0,0.0
Galbraith Lake#830,68.4774,-149.5024,13599700,127.8,,53.0,1.0,0.0
Happy Valley#109,69.1565,-148.8374,13799702,173.4,,41.4,0.8,0.0147
Happy Valley#110,69.1466,-148.8483,13799702,,,41.4,0.8,0.0
Happy Valley#95,69.1466,-148.8484,13799702,,,41.4,0.8,0.0001
Ivotuk#65,68.4789,-155.7381,13599688,,,51.8,1.0,0.0065
Ivotuk#74,68.481,-155.7395,13599688,,,51.8,1.0,0.0067
Kytalyk#1141,70.8304,147.4883,14100294,76.5,,68.2,0.6,0.0001
LAP_0198,46.1061,7.2843,9200014,,,494.9,1.0,0.0
LAP_1108,46.1062,7.2847,9200014,396.7,,494.9,1.0,0.0004
LAP_1208,46.1056,7.2838,9200014,,,494.9,1.0,0.0007
MAT_0205,45.9823,7.6761,9100015,157.5,,368.9,0.6,0.0001
MBP_0196,46.4964,9.9311,9200019,400.0,442.5,244.9,0.6,0.0004
MBP_0296,46.4966,9.9314,9200019,400.0,409.6,244.9,0.6,0.0
MUR_0199,46.5076,9.9275,9300019,320.4,45.7,484.6,1.0,0.0091
MUR_0299,46.5073,9.9272,9300019,262.2,,484.6,1.0,0.0087
Marre Sale#1833,69.7164,66.8125,13900133,254.3,8.8,179.7,1.0,0.0019
Marre Sale#435,69.7164,66.8125,13900133,254.3,8.8,179.7,1.0,0.0019
Marre Sale#436,69.7152,66.8179,13900133,261.0,,179.7,1.0,0.0037
Marre Sale#437,69.7141,66.8139,13900133,193.1,,179.7,1.0,0.0014
Marre Sale#438,69.7093,66.8341,13900133,263.4,9.6,236.3,1.0,0.0
Murtèl-Corvatsch#1844,46.4288,9.8218,9200019,141.3,,366.6,0.6,0.0
Murtèl-Corvatsch#870,46.4285,9.822,9200019,264.4,122.2,248.3,0.6,0.0
Murtèl-Corvatsch#871,46.4288,9.8218,9200019,142.5,,366.6,0.6,0.0
Nadym#1100,65.3158,72.8692,13000145,,,286.8,1.0,0.0005
Nadym#1101,65.3225,72.8817,13000145,400.0,512.9,286.8,1.0,0.0143
Nadym#1102,65.6748,72.8742,13100145,400.0,,264.6,1.1,0.0
Nadym#1103,65.3155,72.8599,13000145,,,149.8,1.0,0.0044
Nadym#1104,65.2993,72.8834,13000145,,,92.9,1.0,0.0048
Nadym#1105,65.3079,72.8491,13000145,,,92.3,1.0,0.011
Nadym#1106,65.2986,72.8848,13000145,,,92.9,1.0,0.0035
Nadym#169,65.3156,72.8732,13000145,,,286.8,1.0,0.004
Nadym#170,65.3153,72.8693,13000145,,,286.8,1.0,0.0
Nadym#171,65.3086,72.8239,13000145,,,92.3,1.0,0.0357
Nadym#172,65.3147,72.8606,13000145,,,149.8,1.0,0.0036
Nadym#173,65.3147,72.8612,13000145,,,149.8,1.0,0.003
Nadym#174,65.3134,72.8872,13000145,,,92.9,1.0,0.0143
Nadym#175,65.3146,72.8629,13000145,,,149.8,1.0,0.0013
Nadym#176,65.3145,72.8618,13000145,,,149.8,1.0,0.0024
Nadym#177,65.3055,72.892,13000145,,,92.9,1.0,0.0075
Nadym#178,65.2985,72.895,13000145,,,92.9,1.0,0.0068
Nadym#179,65.3166,72.862,13000145,,,149.8,1.0,0.0028
Nadym#34,65.3033,72.8592,13000145,,,92.3,1.0,0.0
Nadym#92,65.2994,72.8862,13000145,,,92.9,1.0,0.002
Nerstinsky,70.2333,68.9167,14000137,116.2,,46.7,1.0,0.0484
Novyi Urengoy#419,66.1882,76.5408,13200153,272.8,,47.5,1.1,0.001
Novyi Urengoy#420,66.1873,76.5408,13200153,223.1,,47.5,1.1,0.0
Old Man#749,66.4502,-150.6188,13199698,400.0,224.6,41.2,1.0,0.0021
RIT_0102,46.1747,7.8498,9200015,400.0,361.6,378.9,1.0,0.0
SBE_0190,46.4974,9.9263,9200019,283.1,184.6,484.6,0.6,0.0018
SBE_0290,46.4988,9.9252,9200019,251.0,139.5,484.6,0.6,0.0
SCH_5000,46.5583,7.8344,9300015,188.8,,468.9,0.8,0.0
SCH_5198,46.5583,7.8346,9300015,198.6,,468.9,0.8,0.0002
SCH_5200,46.5583,7.8344,9300015,188.8,,468.9,0.8,0.0
SCH_5318,46.5583,7.8343,9300015,185.1,,468.9,0.8,0.0001
STO_6000,45.9868,7.8242,9100015,85.7,,393.0,0.6,0.0
STO_6100,45.9866,7.824,9100015,91.4,,393.0,0.6,0.0003
Sagwon#116,69.433,-148.6738,13799702,,,57.8,0.8,0.0087
Samoylov (Lena River Delta)#53,72.3696,126.4751,14400252,96.6,,51.7,1.0,0.0055
Schilthorn#864,46.5583,7.8344,9300015,188.8,,468.9,0.8,0.0
Schilthorn#865,46.5583,7.8346,9300015,198.6,,468.9,0.8,0.0002
Schilthorn#866,46.5583,7.8344,9300015,188.8,,468.9,0.8,0.0
Severo-Urengoysky,67.4833,76.65,13400153,95.8,,95.3,0.6,0.0456
Svalbard #1192,78.9209,11.8334,15700023,75.1,,167.4,1.0,0.0001
Svalbard #166,78.2015,15.8346,15600031,32.6,,95.3,0.6,0.0001
Svalbard #1837,78.9219,11.8658,15700023,79.6,,144.8,1.0,0.0001
Svalbard #1838,78.095,14.241,15600028,56.9,,169.4,0.6,0.0001
Svalbard #1839,78.0907,14.2024,15600028,56.2,,144.5,0.6,0.0001
Svalbard #1859,78.2215,15.658,15600031,50.1,,97.5,0.6,0.0
Svalbard #57,78.0566,13.6415,15600027,88.7,,237.0,1.0,0.0026
Svalbard #60,78.1926,15.5984,15600031,53.5,,218.6,0.6,0.0
Svalbard #62,78.1416,16.0626,15600032,174.0,,47.2,1.1,0.0
Svalbard #63,78.1902,15.7816,15600031,52.2,,277.4,0.6,0.0
Svalbard #98,78.0546,13.6367,15600027,97.8,,237.0,1.0,0.0026
Tiksi#1113,71.5867,128.7773,14300257,146.7,,42.2,1.1,0.0069
Toolik Lake#97,68.628,-149.5954,13699700,104.8,,40.4,0.8,0.0122
Ust-Kamchatsky#464,55.8878,160.5358,11100321,204.1,,48.8,1.0,0.0035
Ust-Kamchatsky#468,55.7506,160.2896,11100320,290.5,,98.0,1.0,0.0001
Vorkuta#182,67.5486,64.1738,13500128,328.2,,82.9,1.1,0.036
West Dock#117,70.3745,-148.5522,13999702,134.8,,32.1,1.0,0.0
West Dock#118,70.3745,-148.5522,13999702,,,32.1,1.0,0.0001
Yakutsk#451,62.0136,129.656,12400259,225.5,,202.9,1.0,0.0008
