loc_id,lat,lon,alt_cm,e5_sqrt_tdd,pred_stefan_era5_cell,pred_stefan_era5_pt,pred_stefan_st,forcing_sqrt_tdd_era5_pt,forcing_sqrt_tdd_st
344,64.84102,-163.69698,46.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
345,64.84103,-163.69672,13.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
346,64.84114,-163.69685,44.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
347,64.84115,-163.69685,44.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
348,64.84119534022727,-163.69673330909092,10.909090909090908,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
349,64.84126,-163.69677999999996,46.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
350,64.84135974958333,-163.69669955999998,10.65,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
351,64.8591065013158,-163.6920070736842,15.052631578947368,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
352,64.85912,-163.69194,11.0,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
353,64.85915,-163.69199,53.0,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
354,64.85921668810975,-163.69208362317073,24.602439024390247,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
355,64.85928206781249,-163.6920959625,38.77291666666667,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
356,64.85938450543105,-163.69218035,20.224137931034484,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
357,64.85943666666667,-163.69211933333332,41.0,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
358,64.84101,-163.696,56.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
359,64.84105,-163.6958,15.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
360,64.84112490680556,-163.69593585694443,51.16666666666666,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
361,64.84117755477273,-163.69586884772727,15.363636363636363,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
362,64.8413137955247,-163.6959069243827,38.16666666666666,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
363,64.85929,-163.69119833333332,52.66666666666666,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
364,64.85935952380953,-163.69122619047616,40.285714285714285,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
365,64.859476,-163.691286,27.6,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12760,64.85902212541664,-163.692010825,30.78333333333333,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12761,64.85954182500001,-163.69230105,46.44444444444444,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12762,64.8591316525,-163.69206745,34.43333333333333,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12763,64.8594821391667,-163.69224865,37.833333333333336,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12764,64.8593068958334,-163.69215805,39.333333333333336,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12765,64.85909986541664,-163.691190625,32.666666666666664,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12766,64.85960369,-163.6914511,41.0,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12767,64.8592035677381,-163.69123883571427,36.61904761904762,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12768,64.85948404654762,-163.69136985,31.428571428571427,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12769,64.85929701416666,-163.69129255,38.44444444444444,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12770,64.8593557726389,-163.69131464166665,55.5,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12771,64.8594284466667,-163.6913605,32.0,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12772,64.8595598791667,-163.69142845,50.333333333333336,37.661927411740194,59.23336423355618,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12773,64.84099515041665,-163.6967612,28.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12774,64.841152105,-163.6967521,25.0,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12775,64.84130905958335,-163.696743,31.5,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12776,64.84090546208336,-163.6967664,36.5,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12777,64.84108483874999,-163.696756,30.25,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12778,64.84098733041665,-163.6959216208335,35.75,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12779,64.84139092791665,-163.6958982958335,31.75,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
12780,64.84089764208335,-163.6959268041665,31.25,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
14333,64.8442,-163.7202,68.5909090909091,37.94831344616257,59.58767553531249,57.35721308982645,56.14483218352863,36.14545451526084,35.1655
