part,cv,model,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region,seed
A_physics,spatial_block_AK,p1_stefan,13606,14.557,10.85,-0.991,0.2987,17.382,0.1625,,,,
A_physics,spatial_block_AK,p2_edaphic,13606,40.955,33.251,32.191,-4.5516,17.382,-1.3562,,,,
A_physics,spatial_block_AK,p3_ttop,10386,31.096,24.307,22.921,-2.8109,15.929,-0.9522,,,,
A_physics,spatial_block_AK,p4_kudryavtsev,11652,25.292,19.112,10.397,-1.3462,16.512,-0.5317,,,,
A_physics,spatial_block_AK,p5_lambda,13606,46.301,38.659,38.073,-6.0957,17.382,-1.6638,,,,
A_physics,spatial_block_AK,phys_mean,13606,30.867,24.684,22.184,-2.1536,17.382,-0.7758,,,,
A_physics,LORO,p1_stefan,742,27.478,21.259,0.511,0.208,30.877,0.1101,,,Canada,
A_physics,LORO,p1_stefan,13606,17.571,13.468,-10.845,-0.0219,17.382,-0.0109,,,Alaska,
A_physics,LORO,p1_stefan,3037,21.663,15.52,5.344,-0.0547,21.094,-0.027,,,Lena,
A_physics,LORO_gate,p1_stefan,3,22.237333333333336,,,,,,,,UNWEIGHTED_MEAN,
A_physics,LORO,p2_edaphic,742,85.65,81.628,81.084,-6.6947,30.877,-1.7739,,,Canada,
A_physics,LORO,p2_edaphic,13606,40.955,33.251,32.191,-4.5516,17.382,-1.3562,,,Alaska,
A_physics,LORO,p2_edaphic,3037,61.434,58.426,56.838,-7.4821,21.094,-1.9124,,,Lena,
A_physics,LORO_gate,p2_edaphic,3,62.67966666666666,,,,,,,,UNWEIGHTED_MEAN,
A_physics,LORO,p3_ttop,742,85.65,81.628,81.084,-6.6947,30.877,-1.7739,,,Canada,
A_physics,LORO,p3_ttop,10386,31.096,24.307,22.921,-2.8109,15.929,-0.9522,,,Alaska,
A_physics,LORO,p3_ttop,3037,61.434,58.426,56.838,-7.4821,21.094,-1.9124,,,Lena,
A_physics,LORO_gate,p3_ttop,3,59.39333333333334,,,,,,,,UNWEIGHTED_MEAN,
A_physics,LORO,p4_kudryavtsev,741,60.2,55.128,54.297,-2.994,30.123,-0.9985,,,Canada,
A_physics,LORO,p4_kudryavtsev,11652,25.292,19.112,10.397,-1.3462,16.512,-0.5317,,,Alaska,
A_physics,LORO,p4_kudryavtsev,3037,33.399,29.939,24.953,-1.507,21.094,-0.5833,,,Lena,
A_physics,LORO_gate,p4_kudryavtsev,3,39.63033333333333,,,,,,,,UNWEIGHTED_MEAN,
A_physics,LORO,p5_lambda,742,92.11,88.342,87.892,-7.899,30.877,-1.9831,,,Canada,
A_physics,LORO,p5_lambda,13606,46.301,38.659,38.073,-6.0957,17.382,-1.6638,,,Alaska,
A_physics,LORO,p5_lambda,3037,69.865,66.903,65.677,-9.9702,21.094,-2.3121,,,Lena,
A_physics,LORO_gate,p5_lambda,3,69.42533333333334,,,,,,,,UNWEIGHTED_MEAN,
A_physics,LORO,phys_mean,742,66.029,61.867,60.883,-3.5729,30.877,-1.1384,,,Canada,
A_physics,LORO,phys_mean,13606,30.867,24.684,22.184,-2.1536,17.382,-0.7758,,,Alaska,
A_physics,LORO,phys_mean,3037,47.348,44.333,41.674,-4.0383,21.094,-1.2446,,,Lena,
A_physics,LORO_gate,phys_mean,3,48.08133333333333,,,,,,,,UNWEIGHTED_MEAN,
B_feature,spatial_block_AK,catboost_BASE,13606,15.552,11.663,2.39,0.1994,17.382,0.1053,,,,0.0
B_feature,spatial_block_AK,catboost_+physics,13606,15.294,11.268,1.328,0.2258,17.382,0.1201,,,,0.0
B_feature,spatial_block_AK,mlp_BASE,13606,14.897,10.901,1.319,0.2655,17.382,0.1429,,,,0.0
B_feature,spatial_block_AK,mlp_BASE,13606,14.299,10.238,0.109,0.3233,17.382,0.1774,,,,1.0
B_feature,spatial_block_AK,mlp_BASE,13606,14.793,10.885,2.916,0.2757,17.382,0.149,,,,2.0
B_feature,spatial_block_AK,mlp_+physics,13606,14.775,10.699,0.854,0.2775,17.382,0.15,,,,0.0
B_feature,spatial_block_AK,mlp_+physics,13606,14.693,10.734,1.459,0.2855,17.382,0.1547,,,,1.0
B_feature,spatial_block_AK,mlp_+physics,13606,14.26,9.858,-0.863,0.327,17.382,0.1796,,,,2.0
B_feature,spatial_block_AK,lightgbm_BASE,13606,16.776,12.818,4.156,0.0685,17.382,0.0349,,,,0.0
B_feature,spatial_block_AK,lightgbm_+physics,13606,16.453,12.694,3.145,0.1041,17.382,0.0535,,,,0.0
B_feature,LORO,catboost_BASE,742,26.035,21.451,11.785,0.2891,30.877,0.1568,,,Canada,0.0
B_feature,LORO,catboost_BASE,13606,42.175,35.58,33.932,-4.8872,17.382,-1.4264,,,Alaska,0.0
B_feature,LORO,catboost_BASE,3037,49.91,46.939,45.519,-4.5985,21.094,-1.3661,,,Lena,0.0
B_feature,LORO,catboost_+physics,742,26.259,22.133,10.782,0.2767,30.877,0.1495,,,Canada,0.0
B_feature,LORO,catboost_+physics,13606,39.002,31.439,29.517,-4.0348,17.382,-1.2438,,,Alaska,0.0
B_feature,LORO,catboost_+physics,3037,46.574,43.419,41.745,-3.875,21.094,-1.2079,,,Lena,0.0
B_feature,LORO,mlp_BASE,742,27.787,22.466,7.675,0.1901,30.877,0.1001,,,Canada,0.0
B_feature,LORO,mlp_BASE,13606,40.76,30.555,26.554,-4.4989,17.382,-1.345,,,Alaska,0.0
B_feature,LORO,mlp_BASE,3037,28.793,23.604,15.248,-0.8632,21.094,-0.365,,,Lena,0.0
B_feature,LORO,mlp_BASE,742,26.359,21.196,8.575,0.2713,30.877,0.1463,,,Canada,1.0
B_feature,LORO,mlp_BASE,13606,38.917,31.188,27.458,-4.0128,17.382,-1.2389,,,Alaska,1.0
B_feature,LORO,mlp_BASE,3037,39.21,35.031,29.87,-2.4553,21.094,-0.8588,,,Lena,1.0
B_feature,LORO,mlp_BASE,742,32.51,25.295,14.506,-0.1086,30.877,-0.0529,,,Canada,2.0
B_feature,LORO,mlp_BASE,13606,37.582,29.192,20.48,-3.6747,17.382,-1.1621,,,Alaska,2.0
B_feature,LORO,mlp_BASE,3037,36.204,32.606,26.826,-1.9458,21.094,-0.7163,,,Lena,2.0
B_feature,LORO,mlp_+physics,742,46.959,33.436,27.223,-1.313,30.877,-0.5209,,,Canada,0.0
B_feature,LORO,mlp_+physics,13606,33.923,26.551,22.851,-2.8087,17.382,-0.9516,,,Alaska,0.0
B_feature,LORO,mlp_+physics,3037,29.984,25.768,18.538,-1.0206,21.094,-0.4215,,,Lena,0.0
B_feature,LORO,mlp_+physics,742,28.853,23.896,16.044,0.1268,30.877,0.0655,,,Canada,1.0
B_feature,LORO,mlp_+physics,13606,32.759,26.283,23.531,-2.552,17.382,-0.8847,,,Alaska,1.0
B_feature,LORO,mlp_+physics,3037,47.666,42.967,38.98,-4.1064,21.094,-1.2597,,,Lena,1.0
B_feature,LORO,mlp_+physics,742,43.883,37.456,31.908,-1.0199,30.877,-0.4212,,,Canada,2.0
B_feature,LORO,mlp_+physics,13606,24.427,19.333,13.579,-0.9749,17.382,-0.4053,,,Alaska,2.0
B_feature,LORO,mlp_+physics,3037,38.852,34.993,30.862,-2.3925,21.094,-0.8419,,,Lena,2.0
B_feature,LORO,lightgbm_BASE,742,40.004,28.188,21.527,-0.6785,30.877,-0.2956,,,Canada,0.0
B_feature,LORO,lightgbm_BASE,13606,36.91,29.83,21.677,-3.5092,17.382,-1.1235,,,Alaska,0.0
B_feature,LORO,lightgbm_BASE,3037,41.786,37.821,34.413,-2.9242,21.094,-0.981,,,Lena,0.0
B_feature,LORO,lightgbm_+physics,742,39.901,28.57,21.241,-0.6699,30.877,-0.2923,,,Canada,0.0
B_feature,LORO,lightgbm_+physics,13606,38.803,31.203,23.404,-3.9834,17.382,-1.2324,,,Alaska,0.0
B_feature,LORO,lightgbm_+physics,3037,43.862,40.101,36.725,-3.3238,21.094,-1.0794,,,Lena,0.0
