part,cv,region,model,featset,lam,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi
A_loro,LORO,Canada,ridge,shift14,0.0,0.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,ridge,shift14,0.25,0.0,742.0,27.556,21.154,-0.355,0.2035,30.877,0.1075,,,,,
A_loro,LORO,Canada,ridge,shift14,0.5,0.0,742.0,27.752,20.992,-1.983,0.1922,30.877,0.1012,,,,,
A_loro,LORO,Canada,ridge,shift14,0.75,0.0,742.0,28.053,20.911,-3.611,0.1746,30.877,0.0915,,,,,
A_loro,LORO,Canada,ridge,shift14,1.0,0.0,742.0,28.456,20.891,-5.239,0.1507,30.877,0.0784,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.0,0.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.25,0.0,742.0,26.402,20.583,0.822,0.2689,30.877,0.1449,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.5,0.0,742.0,25.443,19.849,0.37,0.321,30.877,0.176,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.75,0.0,742.0,24.606,19.201,-0.081,0.3649,30.877,0.2031,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,1.0,0.0,742.0,23.904,18.641,-0.533,0.4007,30.877,0.2258,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.0,1.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.25,1.0,742.0,26.581,20.712,0.72,0.2589,30.877,0.1391,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.5,1.0,742.0,25.78,20.076,0.166,0.3029,30.877,0.1651,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.75,1.0,742.0,25.074,19.513,-0.387,0.3406,30.877,0.1879,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,1.0,1.0,742.0,24.472,19.003,-0.94,0.3719,30.877,0.2074,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.0,2.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.25,2.0,742.0,26.665,20.835,0.912,0.2542,30.877,0.1364,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.5,2.0,742.0,25.946,20.307,0.551,0.2939,30.877,0.1597,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.75,2.0,742.0,25.321,19.84,0.191,0.3275,30.877,0.1799,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,1.0,2.0,742.0,24.796,19.421,-0.17,0.3551,30.877,0.1969,,,,,
A_loro,LORO,Canada,catboost,shift14,0.0,0.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost,shift14,0.25,0.0,742.0,27.008,21.224,1.752,0.2349,30.877,0.1253,,,,,
A_loro,LORO,Canada,catboost,shift14,0.5,0.0,742.0,26.68,21.122,2.232,0.2534,30.877,0.1359,,,,,
A_loro,LORO,Canada,catboost,shift14,0.75,0.0,742.0,26.491,21.101,2.711,0.2639,30.877,0.1421,,,,,
A_loro,LORO,Canada,catboost,shift14,1.0,0.0,742.0,26.442,21.186,3.19,0.2666,30.877,0.1436,,,,,
A_loro,LORO,Canada,catboost,shift14,0.0,1.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost,shift14,0.25,1.0,742.0,26.442,20.849,2.089,0.2666,30.877,0.1436,,,,,
A_loro,LORO,Canada,catboost,shift14,0.5,1.0,742.0,25.603,20.373,2.905,0.3124,30.877,0.1708,,,,,
A_loro,LORO,Canada,catboost,shift14,0.75,1.0,742.0,24.971,19.998,3.721,0.346,30.877,0.1913,,,,,
A_loro,LORO,Canada,catboost,shift14,1.0,1.0,742.0,24.561,19.779,4.536,0.3672,30.877,0.2045,,,,,
A_loro,LORO,Canada,catboost,shift14,0.0,2.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost,shift14,0.25,2.0,742.0,26.559,20.833,1.382,0.2601,30.877,0.1398,,,,,
A_loro,LORO,Canada,catboost,shift14,0.5,2.0,742.0,25.79,20.333,1.49,0.3024,30.877,0.1648,,,,,
A_loro,LORO,Canada,catboost,shift14,0.75,2.0,742.0,25.174,19.912,1.599,0.3353,30.877,0.1847,,,,,
A_loro,LORO,Canada,catboost,shift14,1.0,2.0,742.0,24.723,19.58,1.708,0.3589,30.877,0.1993,,,,,
A_loro,LORO,Canada,ridge,shared25,0.0,0.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,ridge,shared25,0.25,0.0,742.0,27.301,20.433,-2.837,0.2182,30.877,0.1158,,,,,
A_loro,LORO,Canada,ridge,shared25,0.5,0.0,742.0,27.843,20.116,-6.947,0.1869,30.877,0.0983,,,,,
A_loro,LORO,Canada,ridge,shared25,0.75,0.0,742.0,29.058,20.482,-11.057,0.1144,30.877,0.0589,,,,,
A_loro,LORO,Canada,ridge,shared25,1.0,0.0,742.0,30.864,21.727,-15.168,0.0008,30.877,0.0004,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.0,0.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.25,0.0,742.0,26.077,20.547,4.25,0.2867,30.877,0.1555,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.5,0.0,742.0,26.017,20.597,7.227,0.29,30.877,0.1574,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.75,0.0,742.0,27.297,21.522,10.204,0.2184,30.877,0.1159,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,1.0,0.0,742.0,29.746,23.169,13.181,0.0719,30.877,0.0366,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.0,1.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.25,1.0,742.0,25.668,20.292,5.312,0.309,30.877,0.1687,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.5,1.0,742.0,26.107,20.682,9.352,0.2851,30.877,0.1545,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.75,1.0,742.0,28.684,22.428,13.391,0.137,30.877,0.071,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,1.0,1.0,742.0,32.9,25.126,17.43,-0.1353,30.877,-0.0655,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.0,2.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.25,2.0,742.0,26.183,20.832,6.542,0.2809,30.877,0.152,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.5,2.0,742.0,27.995,22.319,11.81,0.178,30.877,0.0933,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,0.75,2.0,742.0,32.39,25.443,17.079,-0.1004,30.877,-0.049,,,,,
A_loro,LORO,Canada,catboost_lo,shared25,1.0,2.0,742.0,38.492,29.382,22.348,-0.5541,30.877,-0.2466,,,,,
A_loro,LORO,Canada,catboost,shared25,0.0,0.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost,shared25,0.25,0.0,742.0,25.692,20.538,5.573,0.3077,30.877,0.1679,,,,,
A_loro,LORO,Canada,catboost,shared25,0.5,0.0,742.0,25.646,20.741,9.873,0.3101,30.877,0.1694,,,,,
A_loro,LORO,Canada,catboost,shared25,0.75,0.0,742.0,27.341,22.113,14.174,0.2159,30.877,0.1145,,,,,
A_loro,LORO,Canada,catboost,shared25,1.0,0.0,742.0,30.488,24.543,18.474,0.025,30.877,0.0126,,,,,
A_loro,LORO,Canada,catboost,shared25,0.0,1.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost,shared25,0.25,1.0,742.0,26.387,21.153,4.709,0.2697,30.877,0.1454,,,,,
A_loro,LORO,Canada,catboost,shared25,0.5,1.0,742.0,26.149,21.443,8.145,0.2828,30.877,0.1531,,,,,
A_loro,LORO,Canada,catboost,shared25,0.75,1.0,742.0,26.778,22.272,11.581,0.2479,30.877,0.1327,,,,,
A_loro,LORO,Canada,catboost,shared25,1.0,1.0,742.0,28.216,23.609,15.017,0.1649,30.877,0.0862,,,,,
A_loro,LORO,Canada,catboost,shared25,0.0,2.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost,shared25,0.25,2.0,742.0,25.747,20.597,4.794,0.3047,30.877,0.1661,,,,,
A_loro,LORO,Canada,catboost,shared25,0.5,2.0,742.0,25.201,20.528,8.315,0.3339,30.877,0.1838,,,,,
A_loro,LORO,Canada,catboost,shared25,0.75,2.0,742.0,25.905,21.17,11.835,0.2961,30.877,0.161,,,,,
A_loro,LORO,Canada,catboost,shared25,1.0,2.0,742.0,27.766,22.629,15.356,0.1914,30.877,0.1008,,,,,
A_loro,LORO,Alaska,ridge,shift14,0.0,0.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,ridge,shift14,0.25,0.0,13606.0,19.665,16.059,11.45,-0.2799,17.382,-0.1313,,,,,
A_loro,LORO,Alaska,ridge,shift14,0.5,0.0,13606.0,34.698,30.144,26.947,-2.9848,17.382,-0.9962,,,,,
A_loro,LORO,Alaska,ridge,shift14,0.75,0.0,13606.0,51.623,45.124,42.445,-7.8205,17.382,-1.9699,,,,,
A_loro,LORO,Alaska,ridge,shift14,1.0,0.0,13606.0,69.063,60.406,57.942,-14.7868,17.382,-2.9733,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.0,0.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.25,0.0,13606.0,17.195,13.241,5.236,0.0214,17.382,0.0108,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.5,0.0,13606.0,25.361,19.787,14.519,-1.1289,17.382,-0.4591,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.75,0.0,13606.0,35.438,27.735,23.802,-3.1567,17.382,-1.0388,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,1.0,0.0,13606.0,46.191,36.363,33.085,-6.0619,17.382,-1.6574,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.0,1.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.25,1.0,13606.0,17.469,13.5,6.224,-0.01,17.382,-0.005,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.5,1.0,13606.0,26.35,20.784,16.496,-1.2981,17.382,-0.5159,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.75,1.0,13606.0,37.158,29.95,26.768,-3.5698,17.382,-1.1377,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,1.0,1.0,13606.0,48.624,39.848,37.039,-6.8253,17.382,-1.7974,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.0,2.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.25,2.0,13606.0,18.111,14.18,6.886,-0.0856,17.382,-0.0419,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.5,2.0,13606.0,28.004,22.194,17.82,-1.5956,17.382,-0.6111,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,0.75,2.0,13606.0,39.773,31.906,28.753,-4.2358,17.382,-1.2882,,,,,
A_loro,LORO,Alaska,catboost_lo,shift14,1.0,2.0,13606.0,52.163,42.319,39.687,-8.006,17.382,-2.001,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.0,0.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.25,0.0,13606.0,16.16,12.109,4.805,0.1357,17.382,0.0703,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.5,0.0,13606.0,23.276,18.126,13.656,-0.7931,17.382,-0.3391,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.75,0.0,13606.0,32.482,26.007,22.508,-2.4921,17.382,-0.8687,,,,,
A_loro,LORO,Alaska,catboost,shift14,1.0,0.0,13606.0,42.439,34.508,31.36,-4.9614,17.382,-1.4416,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.0,1.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.25,1.0,13606.0,16.657,12.656,5.657,0.0817,17.382,0.0417,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.5,1.0,13606.0,24.679,19.467,15.361,-1.0159,17.382,-0.4198,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.75,1.0,13606.0,34.757,28.149,25.065,-2.9984,17.382,-0.9996,,,,,
A_loro,LORO,Alaska,catboost,shift14,1.0,1.0,13606.0,45.546,37.414,34.77,-5.866,17.382,-1.6203,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.0,2.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.25,2.0,13606.0,16.615,12.577,5.801,0.0863,17.382,0.0441,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.5,2.0,13606.0,24.724,19.498,15.65,-1.0232,17.382,-0.4224,,,,,
A_loro,LORO,Alaska,catboost,shift14,0.75,2.0,13606.0,34.913,28.318,25.499,-3.0343,17.382,-1.0086,,,,,
A_loro,LORO,Alaska,catboost,shift14,1.0,2.0,13606.0,45.814,37.737,35.347,-5.947,17.382,-1.6357,,,,,
A_loro,LORO,Alaska,ridge,shared25,0.0,0.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,ridge,shared25,0.25,0.0,13606.0,19.707,16.492,13.351,-0.2855,17.382,-0.1338,,,,,
A_loro,LORO,Alaska,ridge,shared25,0.5,0.0,13606.0,35.051,32.257,30.749,-3.0664,17.382,-1.0165,,,,,
A_loro,LORO,Alaska,ridge,shared25,0.75,0.0,13606.0,52.286,49.069,48.146,-8.0485,17.382,-2.0081,,,,,
A_loro,LORO,Alaska,ridge,shared25,1.0,0.0,13606.0,70.029,66.179,65.544,-15.2317,17.382,-3.0289,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.0,0.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.25,0.0,13606.0,17.076,13.154,5.594,0.0349,17.382,0.0176,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.5,0.0,13606.0,25.125,19.586,15.235,-1.0895,17.382,-0.4455,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.75,0.0,13606.0,35.105,27.59,24.876,-3.0789,17.382,-1.0196,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,1.0,0.0,13606.0,45.769,36.412,34.517,-5.9334,17.382,-1.6331,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.0,1.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.25,1.0,13606.0,17.161,13.295,6.064,0.0252,17.382,0.0127,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.5,1.0,13606.0,25.434,20.064,16.176,-1.1411,17.382,-0.4632,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.75,1.0,13606.0,35.642,28.579,26.287,-3.2047,17.382,-1.0505,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,1.0,1.0,13606.0,46.529,37.911,36.399,-6.1656,17.382,-1.6769,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.0,2.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.25,2.0,13606.0,17.068,13.18,6.192,0.0357,17.382,0.018,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.5,2.0,13606.0,25.37,20.101,16.43,-1.1304,17.382,-0.4596,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,0.75,2.0,13606.0,35.639,28.968,26.669,-3.204,17.382,-1.0504,,,,,
A_loro,LORO,Alaska,catboost_lo,shared25,1.0,2.0,13606.0,46.593,38.567,36.908,-6.1853,17.382,-1.6805,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.0,0.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.25,0.0,13606.0,16.725,12.803,6.612,0.0741,17.382,0.0378,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.5,0.0,13606.0,24.893,20.008,17.271,-1.0509,17.382,-0.4321,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.75,0.0,13606.0,35.113,29.438,27.93,-3.0808,17.382,-1.0201,,,,,
A_loro,LORO,Alaska,catboost,shared25,1.0,0.0,13606.0,46.04,39.582,38.589,-6.0156,17.382,-1.6487,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.0,1.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.25,1.0,13606.0,17.003,13.046,6.673,0.0431,17.382,0.0218,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.5,1.0,13606.0,25.64,20.477,17.393,-1.1759,17.382,-0.4751,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.75,1.0,13606.0,36.306,29.981,28.113,-3.3628,17.382,-1.0887,,,,,
A_loro,LORO,Alaska,catboost,shared25,1.0,1.0,13606.0,47.658,40.181,38.833,-6.5175,17.382,-1.7418,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.0,2.0,13606.0,14.602,10.674,-4.047,0.2943,17.382,0.1599,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.25,2.0,13606.0,16.444,12.551,5.931,0.105,17.382,0.0539,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.5,2.0,13606.0,24.025,19.063,15.91,-0.9104,17.382,-0.3822,,,,,
A_loro,LORO,Alaska,catboost,shared25,0.75,2.0,13606.0,33.668,27.656,25.889,-2.7518,17.382,-0.9369,,,,,
A_loro,LORO,Alaska,catboost,shared25,1.0,2.0,13606.0,44.039,36.994,35.867,-5.4192,17.382,-1.5336,,,,,
A_loro,LORO,Lena,ridge,shift14,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,ridge,shift14,0.25,0.0,3037.0,21.705,13.125,-3.9,-0.0588,21.094,-0.029,,,,,
A_loro,LORO,Lena,ridge,shift14,0.5,0.0,3037.0,25.678,15.981,-13.378,-0.4819,21.094,-0.2173,,,,,
A_loro,LORO,Lena,ridge,shift14,0.75,0.0,3037.0,32.198,23.355,-22.856,-1.33,21.094,-0.5264,,,,,
A_loro,LORO,Lena,ridge,shift14,1.0,0.0,3037.0,40.039,32.407,-32.334,-2.603,21.094,-0.8981,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.25,0.0,3037.0,21.36,15.103,4.693,-0.0254,21.094,-0.0126,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.5,0.0,3037.0,21.065,14.619,3.808,0.0028,21.094,0.0014,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.75,0.0,3037.0,20.838,14.21,2.924,0.0241,21.094,0.0121,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,1.0,0.0,3037.0,20.682,13.867,2.039,0.0387,21.094,0.0195,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.0,1.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.25,1.0,3037.0,21.346,15.082,4.693,-0.0241,21.094,-0.012,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.5,1.0,3037.0,21.045,14.599,3.809,0.0046,21.094,0.0023,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.75,1.0,3037.0,20.822,14.211,2.925,0.0256,21.094,0.0129,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,1.0,1.0,3037.0,20.679,13.903,2.04,0.0389,21.094,0.0196,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.0,2.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.25,2.0,3037.0,21.362,14.993,4.295,-0.0256,21.094,-0.0127,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.5,2.0,3037.0,21.099,14.455,3.012,-0.0005,21.094,-0.0002,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.75,2.0,3037.0,20.936,14.006,1.73,0.0149,21.094,0.0075,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,1.0,2.0,3037.0,20.876,13.64,0.447,0.0206,21.094,0.0103,,,,,
A_loro,LORO,Lena,catboost,shift14,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost,shift14,0.25,0.0,3037.0,22.241,16.907,8.531,-0.1117,21.094,-0.0544,,,,,
A_loro,LORO,Lena,catboost,shift14,0.5,0.0,3037.0,23.2,18.507,11.484,-0.2097,21.094,-0.0999,,,,,
A_loro,LORO,Lena,catboost,shift14,0.75,0.0,3037.0,24.55,20.326,14.437,-0.3545,21.094,-0.1638,,,,,
A_loro,LORO,Lena,catboost,shift14,1.0,0.0,3037.0,26.228,22.342,17.389,-0.5461,21.094,-0.2434,,,,,
A_loro,LORO,Lena,catboost,shift14,0.0,1.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost,shift14,0.25,1.0,3037.0,22.695,17.571,9.682,-0.1576,21.094,-0.0759,,,,,
A_loro,LORO,Lena,catboost,shift14,0.5,1.0,3037.0,24.437,20.042,13.787,-0.3421,21.094,-0.1585,,,,,
A_loro,LORO,Lena,catboost,shift14,0.75,1.0,3037.0,26.798,22.911,17.892,-0.614,21.094,-0.2704,,,,,
A_loro,LORO,Lena,catboost,shift14,1.0,1.0,3037.0,29.63,26.084,21.997,-0.9732,21.094,-0.4047,,,,,
A_loro,LORO,Lena,catboost,shift14,0.0,2.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost,shift14,0.25,2.0,3037.0,22.607,17.339,9.051,-0.1486,21.094,-0.0717,,,,,
A_loro,LORO,Lena,catboost,shift14,0.5,2.0,3037.0,24.026,19.444,12.524,-0.2973,21.094,-0.139,,,,,
A_loro,LORO,Lena,catboost,shift14,0.75,2.0,3037.0,25.89,21.814,15.997,-0.5064,21.094,-0.2274,,,,,
A_loro,LORO,Lena,catboost,shift14,1.0,2.0,3037.0,28.111,24.404,19.469,-0.776,21.094,-0.3327,,,,,
A_loro,LORO,Lena,ridge,shared25,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,ridge,shared25,0.25,0.0,3037.0,21.675,14.781,2.121,-0.0559,21.094,-0.0276,,,,,
A_loro,LORO,Lena,ridge,shared25,0.5,0.0,3037.0,22.823,14.939,-1.337,-0.1707,21.094,-0.082,,,,,
