part,cv,region,model,variant,seed,transductive,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90
A_loro,LORO,Canada,mlp,scratch,0.0,True,742,26.934,20.575,-8.603,0.2391,30.877,0.1277,,
A_loro,LORO,Canada,mlp,scratch,1.0,True,742,27.168,20.391,-9.046,0.2258,30.877,0.1201,,
A_loro,LORO,Canada,mlp,scratch,2.0,True,742,25.517,19.261,-7.273,0.317,30.877,0.1736,,
A_loro,LORO,Canada,mlp,pretrain,0.0,True,742,27.424,20.141,-9.745,0.2111,30.877,0.1118,,
A_loro,LORO,Canada,mlp,pretrain,1.0,True,742,29.537,21.364,-12.699,0.0849,30.877,0.0434,,
A_loro,LORO,Canada,mlp,pretrain,2.0,True,742,28.711,20.668,-12.425,0.1354,30.877,0.0701,,
A_loro,LORO,Canada,ftt,scratch,0.0,True,742,26.232,18.948,-7.878,0.2782,30.877,0.1504,,
A_loro,LORO,Canada,ftt,scratch,1.0,True,742,25.932,19.154,-7.27,0.2947,30.877,0.1602,,
A_loro,LORO,Canada,ftt,scratch,2.0,True,742,26.012,20.122,-1.747,0.2903,30.877,0.1576,,
A_loro,LORO,Canada,ftt,pretrain,0.0,True,742,25.802,19.324,-3.483,0.3017,30.877,0.1644,,
A_loro,LORO,Canada,ftt,pretrain,1.0,True,742,27.51,20.541,-3.098,0.2062,30.877,0.1091,,
A_loro,LORO,Canada,ftt,pretrain,2.0,True,742,28.734,21.808,-6.896,0.134,30.877,0.0694,,
A_loro,LORO,Alaska,mlp,scratch,0.0,True,13606,54.079,40.809,36.897,-8.6796,17.382,-2.1112,,
A_loro,LORO,Alaska,mlp,scratch,1.0,True,13606,56.75,39.818,33.662,-9.6595,17.382,-2.2649,,
A_loro,LORO,Alaska,mlp,scratch,2.0,True,13606,44.165,31.614,23.021,-5.4559,17.382,-1.5408,,
A_loro,LORO,Alaska,mlp,pretrain,0.0,True,13606,50.053,39.519,36.786,-7.292,17.382,-1.8796,,
A_loro,LORO,Alaska,mlp,pretrain,1.0,True,13606,61.604,50.898,48.56,-11.5608,17.382,-2.5441,,
A_loro,LORO,Alaska,mlp,pretrain,2.0,True,13606,61.288,48.33,45.827,-11.4326,17.382,-2.526,,
A_loro,LORO,Alaska,ftt,scratch,0.0,True,13606,16.523,12.511,6.081,0.0964,17.382,0.0494,,
A_loro,LORO,Alaska,ftt,scratch,1.0,True,13606,25.191,19.941,14.63,-1.1003,17.382,-0.4493,,
A_loro,LORO,Alaska,ftt,scratch,2.0,True,13606,15.805,11.986,2.825,0.1732,17.382,0.0907,,
A_loro,LORO,Alaska,ftt,pretrain,0.0,True,13606,13.729,9.914,-0.27,0.3761,17.382,0.2101,,
A_loro,LORO,Alaska,ftt,pretrain,1.0,True,13606,15.867,11.954,1.942,0.1667,17.382,0.0871,,
A_loro,LORO,Alaska,ftt,pretrain,2.0,True,13606,16.07,12.219,2.947,0.1453,17.382,0.0755,,
A_loro,LORO,Lena,mlp,scratch,0.0,False,3037,23.655,14.455,-10.327,-0.2576,21.094,-0.1214,,
A_loro,LORO,Lena,mlp,scratch,1.0,False,3037,21.981,15.454,4.229,-0.0859,21.094,-0.0421,,
A_loro,LORO,Lena,mlp,scratch,2.0,False,3037,23.215,17.347,8.457,-0.2113,21.094,-0.1006,,
A_loro,LORO,Lena,mlp,pretrain,0.0,False,3037,23.014,16.865,4.512,-0.1904,21.094,-0.0911,,
A_loro,LORO,Lena,mlp,pretrain,1.0,False,3037,23.188,17.423,6.994,-0.2084,21.094,-0.0993,,
A_loro,LORO,Lena,mlp,pretrain,2.0,False,3037,27.8,23.74,17.975,-0.737,21.094,-0.3179,,
A_loro,LORO,Lena,ftt,scratch,0.0,False,3037,22.177,16.171,4.945,-0.1053,21.094,-0.0513,,
A_loro,LORO,Lena,ftt,scratch,1.0,False,3037,20.904,13.91,0.365,0.0179,21.094,0.009,,
A_loro,LORO,Lena,ftt,scratch,2.0,False,3037,23.42,17.115,4.249,-0.2328,21.094,-0.1103,,
A_loro,LORO,Lena,ftt,pretrain,0.0,False,3037,22.494,16.441,5.814,-0.1372,21.094,-0.0664,,
A_loro,LORO,Lena,ftt,pretrain,1.0,False,3037,22.487,16.596,6.282,-0.1364,21.094,-0.066,,
A_loro,LORO,Lena,ftt,pretrain,2.0,False,3037,21.371,14.613,1.938,-0.0265,21.094,-0.0131,,
A_loro,LORO_gate,UNWEIGHTED_MEAN,ftt,pretrain,,,3,21.56266666666667,,,,,,,
A_loro,LORO_gate,UNWEIGHTED_MEAN,ftt,scratch,,,3,22.466222222222225,,,,,,,
A_loro,LORO_gate,UNWEIGHTED_MEAN,mlp,pretrain,,,3,36.95766666666667,,,,,,,
A_loro,LORO_gate,UNWEIGHTED_MEAN,mlp,scratch,,,3,33.718222222222224,,,,,,,
B_indomain,spatial_block_AK,Alaska,mlp,scratch,0.0,,13606,18.382,14.389,7.231,-0.1184,17.382,-0.0575,,
B_indomain,spatial_block_AK,Alaska,mlp,scratch,1.0,,13606,16.037,12.057,4.172,0.1488,17.382,0.0774,,
B_indomain,spatial_block_AK,Alaska,mlp,scratch,2.0,,13606,17.683,13.661,6.177,-0.0349,17.382,-0.0173,,
B_indomain,spatial_block_AK,Alaska,mlp,pretrain,0.0,,13606,15.01,11.284,4.732,0.2543,17.382,0.1364,,
B_indomain,spatial_block_AK,Alaska,mlp,pretrain,1.0,,13606,16.256,12.641,6.464,0.1254,17.382,0.0648,,
B_indomain,spatial_block_AK,Alaska,mlp,pretrain,2.0,,13606,15.845,12.21,6.082,0.169,17.382,0.0884,,
B_indomain,spatial_block_AK,Alaska,ftt,scratch,0.0,,13606,16.896,12.769,2.81,0.0551,17.382,0.028,,
B_indomain,spatial_block_AK,Alaska,ftt,scratch,1.0,,13606,16.637,12.612,3.102,0.0839,17.382,0.0429,,
B_indomain,spatial_block_AK,Alaska,ftt,scratch,2.0,,13606,17.161,13.246,3.499,0.0253,17.382,0.0127,,
B_indomain,spatial_block_AK,Alaska,ftt,pretrain,0.0,,13606,15.364,11.227,1.627,0.2187,17.382,0.1161,,
B_indomain,spatial_block_AK,Alaska,ftt,pretrain,1.0,,13606,18.589,14.648,6.163,-0.1437,17.382,-0.0695,,
B_indomain,spatial_block_AK,Alaska,ftt,pretrain,2.0,,13606,15.173,11.015,0.609,0.238,17.382,0.1271,,
