loc_id,lat,lon,alt_cm_obs,sqrt_tdd,pred_PHYS_const,pred_PHYS_soil,pred_PHYS_nn,E_soil,E_nn
344,64.84102,-163.69698,46.0,37.94831344616257,58.98831670578082,64.89907569698474,37.45627212524414,1.7101965753776467,0.9642823934555054
345,64.84103,-163.69672,13.0,37.94831344616257,58.98831670578082,64.89907569698474,38.00293731689453,1.7101965753776467,0.9785786867141724
346,64.84114,-163.69685,44.0,37.94831344616257,58.98831670578082,64.89907569698474,38.002933502197266,1.7101965753776467,0.9785785675048828
347,64.84115,-163.69685,44.0,37.94831344616257,58.98831670578082,64.89907569698474,38.002933502197266,1.7101965753776467,0.9785784482955933
348,64.84119534022727,-163.69673330909092,10.909090909090908,37.94831344616257,58.98831670578082,64.89907569698474,38.002933502197266,1.7101965753776467,0.9785784482955933
349,64.84126,-163.69677999999996,46.0,37.94831344616257,58.98831670578082,64.89907569698474,37.517127990722656,1.7101965753776467,0.9659579992294312
350,64.84135974958333,-163.69669955999998,10.65,37.94831344616257,58.98831670578082,64.89907569698474,37.517127990722656,1.7101965753776467,0.9659579396247864
351,64.8591065013158,-163.6920070736842,15.052631578947368,37.661927411740194,58.61739735219639,64.53642821166133,38.4532585144043,1.7135721044256396,0.998336672782898
352,64.85912,-163.69194,11.0,37.661927411740194,58.61739735219639,64.53642821166133,38.629600524902344,1.7135721044256396,1.0029383897781372
353,64.85915,-163.69199,53.0,37.661927411740194,58.61739735219639,64.53642821166133,38.45325469970703,1.7135721044256396,0.9983366131782532
354,64.85921668810975,-163.69208362317073,24.602439024390247,37.661927411740194,58.61739735219639,64.53642821166133,38.45325469970703,1.7135721044256396,0.9983366131782532
355,64.85928206781249,-163.6920959625,38.77291666666667,37.661927411740194,58.61739735219639,64.53642821166133,38.4532585144043,1.7135721044256396,0.9983366131782532
356,64.85938450543105,-163.69218035,20.224137931034484,37.661927411740194,58.61739735219639,64.53642821166133,39.765071868896484,1.7135721044256396,1.0331007242202759
357,64.85943666666667,-163.69211933333332,41.0,37.661927411740194,58.61739735219639,64.53642821166133,39.765071868896484,1.7135721044256396,1.0331007242202759
358,64.84101,-163.696,56.0,37.94831344616257,58.98831670578082,64.89907569698474,37.28807830810547,1.7101965753776467,0.9599367380142212
359,64.84105,-163.6958,15.0,37.94831344616257,58.98831670578082,64.89907569698474,37.19022750854492,1.7101965753776467,0.9573996663093567
360,64.84112490680556,-163.69593585694443,51.16666666666666,37.94831344616257,58.98831670578082,64.89907569698474,37.28807067871094,1.7101965753776467,0.9599364995956421
361,64.84117755477273,-163.69586884772727,15.363636363636363,37.94831344616257,58.98831670578082,64.89907569698474,37.28807067871094,1.7101965753776467,0.9599366188049316
362,64.8413137955247,-163.6959069243827,38.16666666666666,37.94831344616257,58.98831670578082,64.89907569698474,37.704345703125,1.7101965753776467,0.970885157585144
363,64.85929,-163.69119833333332,52.66666666666666,37.661927411740194,58.61739735219639,64.53642821166133,38.792606353759766,1.7135721044256396,1.0072342157363892
364,64.85935952380953,-163.69122619047616,40.285714285714285,37.661927411740194,58.61739735219639,64.53642821166133,39.427757263183594,1.7135721044256396,1.02385413646698
365,64.859476,-163.691286,27.6,37.661927411740194,58.61739735219639,64.53642821166133,39.42775344848633,1.7135721044256396,1.0238540172576904
12760,64.85902212541664,-163.692010825,30.78333333333333,37.661927411740194,58.61739735219639,64.53642821166133,41.0004997253418,1.7135721044256396,1.0657764673233032
12761,64.85954182500001,-163.69230105,46.44444444444444,37.661927411740194,58.61739735219639,64.53642821166133,39.76506805419922,1.7135721044256396,1.0331006050109863
12762,64.8591316525,-163.69206745,34.43333333333333,37.661927411740194,58.61739735219639,64.53642821166133,38.4532585144043,1.7135721044256396,0.998336672782898
12763,64.8594821391667,-163.69224865,37.833333333333336,37.661927411740194,58.61739735219639,64.53642821166133,39.76506805419922,1.7135721044256396,1.0331006050109863
12764,64.8593068958334,-163.69215805,39.333333333333336,37.661927411740194,58.61739735219639,64.53642821166133,38.4532585144043,1.7135721044256396,0.9983366131782532
12765,64.85909986541664,-163.691190625,32.666666666666664,37.661927411740194,58.61739735219639,64.53642821166133,38.79261016845703,1.7135721044256396,1.0072343349456787
12766,64.85960369,-163.6914511,41.0,37.661927411740194,58.61739735219639,64.53642821166133,39.53521728515625,1.7135721044256396,1.0268173217773438
12767,64.8592035677381,-163.69123883571427,36.61904761904762,37.661927411740194,58.61739735219639,64.53642821166133,38.792606353759766,1.7135721044256396,1.0072342157363892
12768,64.85948404654762,-163.69136985,31.428571428571427,37.661927411740194,58.61739735219639,64.53642821166133,38.91032028198242,1.7135721044256396,1.0102441310882568
12769,64.85929701416666,-163.69129255,38.44444444444444,37.661927411740194,58.61739735219639,64.53642821166133,38.792606353759766,1.7135721044256396,1.0072342157363892
12770,64.8593557726389,-163.69131464166665,55.5,37.661927411740194,58.61739735219639,64.53642821166133,39.427757263183594,1.7135721044256396,1.02385413646698
12771,64.8594284466667,-163.6913605,32.0,37.661927411740194,58.61739735219639,64.53642821166133,38.91032791137695,1.7135721044256396,1.0102442502975464
12772,64.8595598791667,-163.69142845,50.333333333333336,37.661927411740194,58.61739735219639,64.53642821166133,39.53521728515625,1.7135721044256396,1.0268173217773438
12773,64.84099515041665,-163.6967612,28.0,37.94831344616257,58.98831670578082,64.89907569698474,38.00293731689453,1.7101965753776467,0.9785786867141724
12774,64.841152105,-163.6967521,25.0,37.94831344616257,58.98831670578082,64.89907569698474,38.002933502197266,1.7101965753776467,0.9785784482955933
12775,64.84130905958335,-163.696743,31.5,37.94831344616257,58.98831670578082,64.89907569698474,37.517127990722656,1.7101965753776467,0.9659579992294312
12776,64.84090546208336,-163.6967664,36.5,37.94831344616257,58.98831670578082,64.89907569698474,37.35283660888672,1.7101965753776467,0.9616143107414246
12777,64.84108483874999,-163.696756,30.25,37.94831344616257,58.98831670578082,64.89907569698474,38.002933502197266,1.7101965753776467,0.9785785675048828
12778,64.84098733041665,-163.6959216208335,35.75,37.94831344616257,58.98831670578082,64.89907569698474,37.28807830810547,1.7101965753776467,0.9599367380142212
12779,64.84139092791665,-163.6958982958335,31.75,37.94831344616257,58.98831670578082,64.89907569698474,37.704345703125,1.7101965753776467,0.9708850979804993
12780,64.84089764208335,-163.6959268041665,31.25,37.94831344616257,58.98831670578082,64.89907569698474,37.85064697265625,1.7101965753776467,0.9747728109359741
14333,64.8442,-163.7202,68.5909090909091,37.94831344616257,58.98831670578082,64.89907569698474,39.764976501464844,1.7101965753776467,1.0246145725250244
